Fecha,Institución,Pacientes,Positivos,En_estudio
06/05/2020,HCG,21,6,15
06/05/2020,ISSSTE,1,0,1
06/05/2020,IMSS,85,15,70
06/05/2020,Privados,9,9,0
07/05/2020,SSJ,18,7,11
07/05/2020,HCG,22,5,17
07/05/2020,ISSSTE,1,0,1
07/05/2020,IMSS,73,21,52
07/05/2020,Privados,11,7,3
08/05/2020,SSJ,19,9,10
08/05/2020,HCG,21,6,15
08/05/2020,ISSSTE,4,0,4
08/05/2020,IMSS,83,21,62
08/05/2020,Privados,3,2,1
09/05/2020,SSJ,19,8,11
09/05/2020,HCG,15,6,9
09/05/2020,ISSSTE,4,0,4
09/05/2020,IMSS,86,27,59
09/05/2020,Privados,2,2,1
10/05/2020,SSJ,21,7,14
10/05/2020,HCG,14,5,9
10/05/2020,ISSSTE,4,0,4
10/05/2020,IMSS,90,26,64
10/05/2020,Privados,6,1,7
11/05/2020,SSJ,22,4,18
11/05/2020,HCG,17,7,10
11/05/2020,ISSSTE,6,2,4
11/05/2020,IMSS,94,26,68
11/05/2020,Privados,12,5,7
12/05/2020,SSJ,25,5,20
12/05/2020,HCG,20,8,12
12/05/2020,ISSSTE,7,2,5
12/05/2020,IMSS,98,29,69
12/05/2020,Privados,13,6,7
13/05/2020,SSJ,24,10,14
13/05/2020,HCG,19,8,11
13/05/2020,ISSSTE,9,2,7
13/05/2020,IMSS,98,29,69
13/05/2020,Privados,13,6,7
14/05/2020,SSJ,26,17,9
14/05/2020,HCG,24,11,13
14/05/2020,ISSSTE,11,3,8
14/05/2020,IMSS,96,36,60
14/05/2020,Privados,7,7,0
15/05/2020,SSJ,27,15,12
15/05/2020,HCG,25,10,15
15/05/2020,ISSSTE,12,3,9
15/05/2020,IMSS,99,33,66
15/05/2020,Privados,8,6,2
16/05/2020,SSJ,26,12,14
16/05/2020,HCG,21,10,11
16/05/2020,ISSSTE,9,3,6
16/05/2020,IMSS,103,43,60
16/05/2020,Privados,0,0,0
17/05/2020,SSJ,26,15,11
17/05/2020,HCG,29,13,16
17/05/2020,ISSSTE,6,1,5
17/05/2020,IMSS,99,26,73
17/05/2020,Privados,0,0,0
18/05/2020,SSJ,28,15,13
18/05/2020,HCG,34,14,20
18/05/2020,ISSSTE,6,5,1
18/05/2020,IMSS,93,41,52
18/05/2020,Privados,8,6,2
19/05/2020,SSJ,32,13,19
19/05/2020,HCG,27,12,15
19/05/2020,ISSSTE,6,5,1
19/05/2020,IMSS,97,44,53
19/05/2020,Privados,7,6,1
20/05/2020,SSJ,36,13,23
20/05/2020,HCG,27,11,16
20/05/2020,ISSSTE,5,1,4
20/05/2020,IMSS,99,32,67
20/05/2020,Privados,8,6,2
21/05/2020,SSJ,34,15,19
21/05/2020,HCG,28,13,15
21/05/2020,ISSSTE,5,1,4
21/05/2020,IMSS,102,34,68
21/05/2020,Privados,12,9,1
22/05/2020,SSJ,34,17,17
22/05/2020,HCG,35,15,20
22/05/2020,ISSSTE,4,1,3
22/05/2020,IMSS,91,34,57
22/05/2020,Privados,13,9,4
23/05/2020,SSJ,32,17,15
23/05/2020,HCG,32,16,16
23/05/2020,ISSSTE,4,1,3
23/05/2020,IMSS,95,31,64
23/05/2020,Privados,2,1,1
24/05/2020,SSJ,30,17,13
24/05/2020,HCG,33,16,17
24/05/2020,ISSSTE,4,1,3
24/05/2020,IMSS,100,45,55
24/05/2020,Privados,4,3,1
25/05/2020,SSJ,29,16,13
25/05/2020,HCG,41,18,23
25/05/2020,ISSSTE,5,1,4
25/05/2020,IMSS,132,48,84
25/05/2020,Privados,7,4,3
26/05/2020,SSJ,27,15,12
26/05/2020,HCG,37,17,20
